rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
7,TB,21,139,Ronaldo Hernandez,660613,223,42,74,22,1,5,.382,.889,.507,40,16,39,2,2,110,113,.332,C,ROK
7,STL,19,138,Jhon Torres,672536,184,25,47,7,3,5,.363,.771,.408,35,28,41,4,4,92,75,.255,OF,ROK
7,DET,24,116,Jake Rogers,668670,422,60,110,25,4,18,.350,.817,.467,70,54,102,14,8,203,197,.261,C,ALL (3)
7,CLE,23,114,Bobby Bradley,656252,467,66,117,25,3,23,.331,.796,.465,89,55,122,3,3,217,217,.251,1B,AA
7,CIN,23,113,Tyler Stephenson,663886,295,39,82,22,0,6,.374,.788,.414,50,44,58,2,1,133,122,.278,C,A(Full)
7,SF,19,137,Alexander Canario,672744,235,42,69,17,4,5,.391,.855,.464,45,33,40,18,10,107,109,.294,LF,ROK
8,NYM,20,121,Shervyen Newton,665989,241,51,75,11,9,1,.433,.877,.444,31,50,57,10,4,119,107,.311,SS,ROK
8,TOR,19,141,Gabriel Moreno,672515,125,9,31,4,1,0,.274,.570,.296,17,6,5,5,4,58,37,.248,C,ROK
8,ATL,21,144,William Contreras,661388,169,29,49,10,1,4,.379,.811,.432,25,24,30,1,0,68,73,.290,C,ROK
8,TB,24,139,Nate Lowe,663993,402,55,110,23,1,7,.373,.761,.388,59,64,106,1,2,157,156,.274,1B,ALL (2)
8,CWS,23,145,Luis Alexander Basabe,642772,375,52,83,12,5,5,.320,.640,.320,36,49,104,17,6,142,120,.221,CF,A(Adv)
8,CHC,20,112,Aramis Ademan,666620,288,36,77,15,5,7,.324,.751,.427,42,18,54,14,8,142,123,.267,SS,ALL (2)
8,WAS,19,120,Yasel Antuna,671276,173,25,52,8,3,1,.382,.781,.399,17,23,29,5,5,73,69,.301,SS,ROK
8,OAK,24,133,Sheldon Neuse,641914,442,70,142,26,3,16,.382,.884,.502,79,40,112,14,5,178,222,.321,3B,ALL (3)
8,SF,25,137,Mauricio Dubon,643289,492,74,135,29,0,8,.330,.712,.382,57,39,76,38,15,186,188,.274,SS,ALL (2)
8,SEA,24,136,Jake Fraley,641584,109,12,23,6,1,2,.279,.618,.339,14,9,27,4,4,40,37,.211,CF,ALL (2)
8,PHI,21,143,Mickey Moniak,666160,466,53,110,22,6,5,.284,.625,.341,44,28,109,11,7,205,159,.236,CF,A(Full)
8,SD,20,135,Luis Campusano,669134,134,8,36,4,0,4,.344,.732,.388,25,15,25,0,2,52,52,.269,C,ALL (2)
8,TEX,21,140,Bubba Thompson,669352,113,23,29,7,2,3,.317,.751,.434,12,6,28,5,5,48,49,.257,OF,ROK
8,MIN,24,142,Brent Rooker,667670,228,42,64,11,0,18,.364,.930,.566,52,27,68,2,2,109,129,.281,OF,ALL (2)
8,DET,22,116,Daz Cameron,663662,454,80,123,29,8,14,.351,.814,.463,74,48,112,32,13,217,210,.271,CF,ALL (2)
9,MIL,20,158,Mario Feliciano,666128,402,47,101,16,2,4,.320,.651,.331,36,34,72,10,2,155,133,.251,C,A(Full)
9,PIT,25,134,Kevin Kramer,596012,217,32,63,17,3,6,.371,.850,.479,30,17,53,8,2,114,104,.290,3B,ALL (3)
9,CHC,24,112,Zack Short,670097,468,84,117,28,6,13,.383,.802,.419,47,94,104,18,10,159,196,.250,SS,ALL (2)
9,OAK,23,133,Luis Barrera,642456,392,56,103,15,7,7,.307,.697,.390,38,24,86,16,8,160,153,.263,LF,ALL (2)
9,COL,25,115,Sam Hilliard,656541,536,95,161,23,7,21,.360,.847,.487,92,50,154,37,17,243,261,.300,RF,A(Adv)
9,KC,20,118,MJ Melendez,669004,168,25,44,8,3,4,.374,.791,.417,30,26,60,4,2,87,70,.262,C,ROK
9,BOS,24,111,C.J. Chatham,641453,19,5,6,0,0,1,.381,.855,.474,5,2,1,0,1,4,9,.316,SS,ALL (2)
9,CWS,22,145,Blake Rutherford,666164,396,52,103,25,2,2,.326,.674,.348,35,38,76,10,4,181,138,.260,CF,ALL (2)
10,WSH,19,,Israel Pineda,672832,59,10,17,5,2,0,.323,.764,.441,12,4,13,0,0,19,26,.288,C,ROK
10,STL,24,138,Randy Arozarena,668227,428,72,114,32,4,11,.346,.783,.437,49,40,87,18,7,180,187,.266,CF,ALL (2)
10,COL,25,115,Yonathan Daza,602074,519,93,177,34,11,3,.376,.842,.466,87,30,88,31,8,189,242,.341,RF,A(Adv)
10,CWS,24,145,Zack Collins,641470,375,70,84,20,3,19,.370,.815,.445,53,87,129,0,2,157,167,.224,C,ALL (2)
10,TEX,20,140,Sherten Apostel,665947,198,43,51,12,4,9,.422,.917,.495,48,56,49,4,5,119,98,.258,3B,ROK
10,OAK,20,133,Austin Beck,675648,152,23,32,7,4,2,.293,.642,.349,28,17,51,7,1,87,53,.211,CF,ROK
10,SEA,24,136,Kyle Lewis,641786,187,29,48,6,1,7,.329,.741,.412,31,19,52,3,1,101,77,.257,CF,ALL (2)
10,KC,20,118,Nick Pratto,668472,198,25,49,15,3,4,.330,.744,.414,34,24,58,10,4,87,82,.247,1B,ROK
10,PIT,24,134,Will Craig,643269,458,59,124,26,1,6,.373,.744,.371,61,62,106,1,3,195,170,.271,3B,A(Adv)
11,TEX,21,140,Anderson Tejeda,660731,401,68,99,24,9,8,.309,.720,.411,53,36,132,10,7,161,165,.247,SS,A(Full)
11,SD,20,135,Hudson Potts,668888,491,67,124,23,4,20,.293,.731,.438,69,23,140,0,1,226,215,.253,3B,A(Full)
11,CLE,24,114,Yu Chang,644374,440,72,97,24,5,24,.312,.773,.461,66,52,134,11,4,204,203,.220,SS,AA
11,COL,22,115,Tyler Nevin,663527,328,49,98,21,3,8,.353,.807,.454,52,27,65,10,6,124,149,.299,3B,ALL (2)
11,STL,22,138,Julio Rodriguez,667372,185,28,51,14,1,5,.338,.781,.443,36,17,31,0,0,83,82,.276,C,ALL (2)
11,OAK,20,133,Lazaro Armenteros,670860,174,30,48,9,4,4,.377,.820,.443,23,19,57,12,3,81,77,.276,LF,ALL (2)
11,PHI,20,143,Simon Muzziotti,665922,141,22,38,4,6,0,.304,.687,.383,14,7,10,9,3,47,54,.270,CF,ALL (2)
11,MIA,19,146,Jose Devers,672701,184,21,45,9,3,1,.336,.678,.342,16,18,37,16,3,63,63,.245,SS,ALL (2)
11,DET,22,116,Willi Castro,650489,469,69,136,24,3,11,.337,.761,.424,58,28,90,19,9,203,199,.290,SS,A(Adv)
11,CWS,22,145,Micker Adolfo,650520,424,60,112,28,2,16,.331,.784,.453,68,31,149,2,0,200,192,.264,RF,A(Full)
11,KC,21,118,Seuly Matias,665890,222,27,54,13,3,7,.297,.720,.423,36,16,72,2,1,102,94,.243,CF,ROK
11,PIT,23,134,Jared Oliva,666931,222,30,59,10,7,0,.327,.701,.374,17,17,57,15,4,89,83,.266,OF,A(Short)
12,PHI,20,143,Jhailyn Ortiz,665560,159,27,48,15,1,8,.401,.961,.560,30,18,47,5,1,81,89,.302,RF,A(Short)
12,TOR,20,141,Alejandro Kirk,672386,2,0,0,0,0,0,.333,.333,.000,0,0,0,0,0,2,0,.000,C,ROK
12,KC,23,118,Michael Gigliotti,669377,241,44,77,13,4,4,.420,.876,.456,38,40,41,22,10,81,110,.320,OF,ALL (2)
12,CWS,24,145,Luis Gonzalez,670768,250,29,59,14,4,2,.351,.699,.348,15,42,53,2,3,84,87,.236,OF,ALL (2)
12,SD,19,135,Tirso Ornelas,672359,196,46,54,11,3,3,.399,.807,.408,26,40,61,0,0,96,80,.276,OF,ROK
12,LA,23,119,DJ Peters,656847,504,91,139,29,5,27,.372,.886,.514,82,64,189,3,3,229,259,.276,CF,A(Adv)
12,TB,21,139,Josh Lowe,666139,456,60,122,26,2,8,.326,.712,.386,55,42,144,22,8,228,176,.268,3B,A(Full)
13,DET,19,116,Wenceel Perez,672761,226,31,71,8,1,0,.387,.745,.358,22,27,21,16,6,111,81,.314,SS,ROK
13,SD,19,135,Tucupita Marcano,672779,170,17,35,4,2,0,.337,.590,.253,15,34,15,10,3,69,43,.206,SS,ROK
13,TEX,24,140,Nick Solak,669256,465,72,138,26,5,12,.384,.836,.452,53,63,100,14,5,208,210,.297,2B,ALL (2)
13,TOR,23,141,Kevin Smith,675656,262,43,71,25,1,8,.312,.778,.466,43,16,70,9,0,97,122,.271,SS,ROK
13,MIA,22,146,Lewin Diaz,650331,466,47,136,33,1,12,.329,.773,.444,68,25,80,2,1,184,207,.292,1B,A(Full)
