rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
12,SF,20,137,666619,Gregory Santos,8,1.24,34.2,34,16,11,9,26,4,104,143,,2.86,0,0,0,1,5,A(Full)
12,MIL,23,158,657022,Trey Supak,27,1.03,152.2,125,64,61,32,118,12,458,614,,3.60,0,0,0,12,6,ALL (2)
12,MIA,22,146,663734,Nick Neidert,13,1.56,54.0,57,30,28,27,46,5,162,243,,4.67,0,0,0,3,5,ALL (3)
12,TEX,23,140,642546,Jonathan Hernandez,26,1.44,104.1,106,62,57,44,103,12,313,457,,4.92,0,1,0,6,9,ALL (2)
12,PIT,19,134,677952,Braxton Ashcraft,11,1.34,53.0,49,40,34,22,39,4,159,233,,5.77,0,0,0,1,9,A(Short)
12,CHC,24,112,668338,Tyson Miller,26,1.28,136.2,132,69,66,43,123,19,410,572,,4.35,0,0,0,7,8,ALL (2)
13,CHC,23,112,663929,Riley Thompson,21,1.23,94.0,85,45,32,31,87,9,282,391,,3.06,0,0,0,8,6,A(Full)
13,MIN,21,142,683764,Matt Canterino,7,0.64,25.0,8,6,4,8,31,0,75,93,,1.44,0,0,0,1,1,ALL (2)
13,WAS,24,120,643532,Sterling Sharp,12,1.30,58.2,61,24,23,15,52,1,176,245,,3.53,0,0,0,5,4,ALL (3)
13,CIN,23,113,676050,Packy Naughton,28,1.23,157.0,158,67,58,35,131,10,471,656,,3.32,0,0,0,11,12,ALL (2)
13,ATL,23,144,656353,Tucker Davidson,25,1.25,129.2,108,42,31,54,134,5,389,531,,2.15,0,0,0,8,7,ALL (2)
13,PIT,21,134,675989,Cody Bolton,21,1.04,101.2,76,40,37,30,102,7,305,406,,3.28,0,0,0,8,6,ALL (2)
13,NYM,18,121,681744,Junior Santos,14,1.75,40.2,46,29,23,25,36,4,122,197,,5.09,0,0,0,0,5,ROA
13,MIL,24,158,656876,Drew Rasmussen,27,1.18,74.1,57,28,26,31,96,4,223,303,,3.15,0,0,2,1,3,ALL (3)
13,KC,22,118,672578,Carlos Hernandez,15,1.44,57.2,59,38,34,24,68,7,173,251,,5.31,0,0,0,3,5,ALL (3)
13,OAK,25,133,621076,James Kaprielian,19,1.10,68.0,59,25,24,16,75,8,204,277,,3.18,0,0,0,4,3,ALL (3)
13,NYY,19,147,672710,Roansy Contreras,24,1.07,132.1,105,55,49,36,113,10,397,536,,3.33,0,0,0,12,5,A(Full)
13,ARI,24,109,642203,Taylor Widener,23,1.74,100.0,133,90,90,41,109,23,300,464,,8.10,0,0,0,6,7,AAA
13,STL,22,138,663765,Jake Woodford,26,1.31,151.2,124,75,70,75,131,22,455,643,,4.15,0,0,0,9,8,AAA
14,MIL,24,158,642207,Devin Williams,42,1.29,66.0,50,23,18,35,90,4,198,281,,2.45,4,2,0,7,2,ALL (3)
14,WAS,22,120,668697,Reid Schaller,12,1.21,52.0,38,21,19,25,47,5,156,214,,3.29,0,0,0,4,3,A(Full)
14,NYY,22,147,669805,Alexander Vizcaino,21,1.31,115.0,113,61,56,38,128,8,345,490,,4.38,0,0,0,6,6,ALL (2)
14,ATL,22,144,665600,Jasseel De La Cruz,25,1.14,133.0,102,50,48,49,121,8,399,545,,3.25,0,0,0,7,9,ALL (3)
14,ARI,18,109,686796,Blake Walston,6,0.91,11.0,8,3,3,2,17,0,33,42,,2.45,0,0,0,0,0,ALL (2)
14,PIT,23,134,650813,Luis Escobar,38,1.51,74.0,70,32,30,42,74,8,222,324,,3.65,4,5,2,2,1,ALL (3)
14,NYM,23,121,673380,Dedniel Nunez,16,1.20,80.0,73,41,39,23,94,5,240,338,,4.39,0,0,0,5,4,ALL (2)
14,DET,22,116,663366,Beau Burrows,17,1.44,74.1,71,41,40,36,69,12,223,327,,4.84,0,0,0,3,6,ALL (3)
14,LAD,22,,675627,Michael Grove,21,1.55,51.2,61,37,35,19,73,7,155,231,,6.10,0,0,0,0,5,A(Adv)
14,ANA,22,108,669443,Aaron Hernandez,20,1.67,72.2,75,38,36,46,81,6,218,336,,4.46,0,0,0,1,4,A(Adv)
14,HOU,23,117,660600,Enoli Paredes,22,0.98,94.0,50,30,29,42,128,4,282,374,,2.78,1,0,0,5,4,ALL (2)
14,OAK,23,133,656550,Grant Holmes,23,1.22,86.1,77,35,31,28,81,10,259,356,,3.23,0,0,1,6,5,ALL (2)
14,CLE,20,114,665854,Luis Oviedo,19,1.38,87.0,80,54,52,40,72,6,261,380,,5.38,0,0,0,6,6,A(Full)
14,CWS,19,145,683010,Matthew Thompson,2,1.00,2.0,2,1,0,0,2,0,6,8,,0.00,0,0,0,0,0,ROK
15,SF,25,137,661536,Melvin Adon,48,1.59,55.1,54,37,29,34,77,3,166,245,,4.72,14,2,2,2,7,ALL (2)
15,SD,23,135,671790,Ronald Bolanos,27,1.25,141.1,118,70,60,59,151,13,424,594,,3.82,0,0,0,13,8,ALL (3)
15,NYM,23,121,675914,Tony Dibrell,26,1.40,129.0,124,68,64,57,113,12,387,553,,4.47,0,1,0,8,12,ALL (2)
15,CHC,19,112,681673,Kohl Franklin,11,1.19,42.0,31,13,11,19,52,2,126,180,,2.36,0,0,0,1,3,ALL (2)
15,BOS,22,111,679977,Noah Song,7,0.88,17.0,10,2,2,5,19,0,51,65,,1.06,0,0,0,0,0,A(Short)
15,TEX,21,140,663969,Tyler Phillips,24,1.14,131.0,123,62,54,26,102,16,393,527,,3.71,0,0,0,9,11,ALL (2)
15,BAL,24,110,640451,Hunter Harvey,32,1.35,81.0,79,49,43,30,93,17,243,350,,4.78,1,9,1,4,6,ALL (3)
15,ATL,20,144,676206,Freddy Tarnok,22,1.37,106.0,108,59,56,37,91,7,318,461,,4.75,0,0,0,3,8,ALL (2)
15,CLE,23,114,656529,Sam Hentges,26,1.65,128.2,148,89,73,64,126,11,386,588,,5.11,0,0,0,2,13,AA
